fips,name,households_with_broadband_pct,households_with_broadband_moe,households_without_internet_pct,households_without_internet_moe
39061,"Hamilton County, Ohio",0.855,0.004,0.063,0.003
53061,"Snohomish County, Washington",0.924,0.004,0.044000000000000004,0.003
26041,"Delta County, Michigan",0.802,0.013999999999999999,0.084,0.011000000000000001
26047,"Emmet County, Michigan",0.83700000000000008,0.015,0.076,0.01
26103,"Marquette County, Michigan",0.823,0.011000000000000001,0.092,0.0090000000000000011
37145,"Person County, North Carolina",0.795,0.027999999999999997,0.083,0.02
40135,"Sequoyah County, Oklahoma",0.716,0.016,0.149,0.015
55135,"Waupaca County, Wisconsin",0.823,0.012,0.069,0.008
04009,"Graham County, Arizona",0.76,0.024,0.14800000000000002,0.025
15005,"Kalawao County, Hawaii",0.65099999999999991,0.13,0.159,0.10099999999999999
17119,"Madison County, Illinois",0.868,0.006,0.055,0.005
20013,"Brown County, Kansas",0.777,0.032,0.08900000000000001,0.018000000000000002
20079,"Harvey County, Kansas",0.841,0.021,0.057,0.013999999999999999
27087,"Mahnomen County, Minnesota",0.72,0.022000000000000002,0.109,0.018000000000000002
32007,"Elko County, Nevada",0.866,0.018000000000000002,0.078,0.013999999999999999
40127,"Pushmataha County, Oklahoma",0.706,0.022000000000000002,0.109,0.016
15007,"Kauai County, Hawaii",0.865,0.013999999999999999,0.057999999999999996,0.008
06031,"Kings County, California",0.795,0.013999999999999999,0.106,0.012
16047,"Gooding County, Idaho",0.755,0.038,0.139,0.037000000000000005
27005,"Becker County, Minnesota",0.825,0.011000000000000001,0.076,0.0090000000000000011
40021,"Cherokee County, Oklahoma",0.67099999999999993,0.023,0.154,0.017
42085,"Mercer County, Pennsylvania",0.80799999999999994,0.01,0.062,0.0069999999999999993
48317,"Martin County, Texas",0.688,0.07400000000000001,0.203,0.071
55039,"Fond du Lac County, Wisconsin",0.851,0.01,0.061,0.0090000000000000011
55095,"Polk County, Wisconsin",0.804,0.011000000000000001,0.094,0.0090000000000000011
08077,"Mesa County, Colorado",0.878,0.011000000000000001,0.054000000000000006,0.0069999999999999993
16009,"Benewah County, Idaho",0.727,0.031,0.161,0.028999999999999998
20035,"Cowley County, Kansas",0.804,0.017,0.10400000000000001,0.016
20085,"Jackson County, Kansas",0.84200000000000008,0.019,0.06,0.012
20177,"Shawnee County, Kansas",0.7659999999999999,0.013000000000000001,0.136,0.012
22011,"Beauregard Parish, Louisiana",0.78,0.025,0.127,0.023
27007,"Beltrami County, Minnesota",0.815,0.018000000000000002,0.08900000000000001,0.013999999999999999
