geo_id,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,median_income
35039940800,5247,1161,9,6,3054,955,
35039000500,3662,882,3,52,2561,142,
35039940700,3510,562,30,60,2748,72,
35039941000,3653,162,13,0,516,2901,
35039000200,3664,279,11,20,3282,68,
35039944100,6541,531,47,46,4476,1352,
35039000400,4159,586,0,0,3488,85,
04013941100,56,0,0,18,9,29,
04013940700,119,7,0,5,0,107,40750
40109105500,3086,592,44,21,2132,181,33672
26049003400,2296,388,1755,0,46,30,8777
35053940000,1085,7,0,0,25,1053,13274
17163502700,1061,9,1007,0,0,27,14474
53077001501,7534,1293,192,5,5876,130,30266
36005043500,361,15,153,0,87,101,
04015940400,1514,39,3,0,47,1419,36905
26163503500,2745,45,2603,22,30,45,36058
42049000800,2152,770,555,136,521,46,20210
04013117300,1211,55,40,0,1050,66,22125
06029003103,3796,660,19,0,3059,37,39625
48353950400,4149,1374,504,57,2144,39,30905
04007940200,2279,20,7,0,58,2160,28902
04013114302,3095,284,1053,32,1495,182,18056
21237930200,4069,4014,8,3,3,30,19391
04013117200,1147,25,30,10,1009,73,45417
36037940100,452,40,0,30,9,364,44338
39093023000,4900,2752,599,26,1278,66,34167
02170000101,552,442,15,5,3,44,44911
21111000600,1790,38,1696,0,0,56,25435
01121011800,2257,1053,929,0,229,31,20313
01055001000,1329,354,478,0,373,60,22163
04013112507,2975,99,131,47,2573,101,30478
04013112512,1261,167,192,7,846,45,40741
39099802300,740,127,461,14,47,40,19223
21051950600,1256,1141,13,0,0,38,18914
35001004736,1529,23,0,0,1445,61,31338
04013109602,7222,534,299,9,6300,42,36478
46103011500,821,371,12,0,255,114,21958
04013112700,6952,299,0,0,6564,80,29882
51650011400,2744,117,2416,0,50,30,3894
36055009603,2317,613,820,42,684,61,20538
40109104300,3454,721,46,0,2560,28,28006
13089021204,3308,138,115,142,2829,84,26630
02290000100,1111,142,0,12,25,888,29286
55079016900,3575,606,91,0,2779,86,21622
40109105300,3248,814,212,0,1885,110,31957
12117020500,2389,449,1271,164,393,33,23880
02290000400,978,144,6,5,49,709,38269
04001942600,1591,0,0,0,0,1586,17981
01113030200,2310,736,1417,0,17,32,22981
04021941300,1939,86,0,0,96,1752,9750
55079016400,4334,283,437,58,3433,44,31968
40109105700,1273,429,246,8,432,68,27632
04013110001,4895,448,217,55,4079,65,43152
40143008001,2061,768,587,6,365,169,12563
04017940008,1070,2,0,0,0,1059,23958
04019940700,1518,48,6,0,53,1382,19643
35043940900,2660,18,0,0,85,2545,15670
40121486300,1400,597,291,10,154,162,
22115950701,1986,1270,257,11,417,31,83409
20209042300,3179,483,137,366,2135,39,26617
42101020500,2793,103,2357,149,36,31,17929
39035118602,1906,78,1682,0,22,30,11140
53027940000,895,131,0,0,109,625,37500
39003014100,1561,859,491,0,62,36,23875
36067004000,1398,275,541,10,420,46,20000
31095963800,1263,1177,1,0,40,32,29228
40031001400,820,529,86,4,37,74,29028
35061940300,1058,29,0,0,97,927,38958
16027021300,3007,1263,13,5,1601,35,25743
04013941200,1104,49,4,7,124,859,52574
37155961100,2093,639,601,16,447,344,27266
08123000701,1557,353,0,7,1100,82,48295
04013109601,5807,595,278,73,4714,60,47607
26163545100,824,21,765,0,0,38,33750
40109104200,2466,274,12,6,2013,71,40117
39095001900,1440,247,899,0,88,53,24250
48449950700,1503,199,473,0,794,34,31420
08001007802,4664,630,852,316,2658,49,30598
36009940000,284,8,0,8,0,265,35852
35031945700,2364,175,11,0,54,2107,29241
22101040100,2274,489,589,139,917,45,28994
06099002605,3779,1210,136,10,2142,60,45760
19193001200,2876,682,216,101,1654,200,30855
20125950900,1006,564,187,0,122,105,28375
02122000100,483,90,0,34,47,272,38750
04017942400,2549,18,3,21,0,2494,19451
06099002100,3084,705,91,15,2216,50,29878
06107004102,2182,433,0,58,1585,79,27348
06065041410,2618,93,7,10,2477,31,30952
42101019200,8729,1097,1512,225,5817,41,27500
35031944000,2224,18,0,0,25,2144,22465
26121001402,4074,1241,2386,0,162,108,31219
04017940010,2782,26,0,0,17,2718,19485
12133970200,3107,2604,159,31,47,68,34247
01073000300,1933,279,1176,0,379,34,20061
39151701800,2155,610,1204,0,147,38,20813
06019002800,4500,134,156,864,3312,33,23065
36067005200,2154,290,1471,0,197,35,36090
06065043601,4643,800,340,38,3305,73,34271
53045940000,761,194,4,1,24,451,47292
40109107219,3867,1092,71,0,2654,38,41729
40125500200,3287,1948,306,9,320,530,19042
06071025100,1342,530,34,25,264,436,30368
06007003002,3437,1818,48,482,705,62,39508
39093023300,2418,988,398,0,886,104,30720
13309780100,2534,1612,867,0,11,36,27793
01079979700,1988,1648,74,32,22,101,42986
32003004100,5776,796,0,81,4722,86,46690
40143001200,1944,468,215,0,1070,43,29784
40037020102,1409,870,46,0,91,298,42682
35043940600,2049,5,0,0,15,2010,37500
34011020300,6412,612,751,9,4917,123,36571
06007003001,2774,1387,58,302,499,126,29821
40063484800,3610,1846,533,18,250,738,26667
21047200400,2466,423,1700,0,262,63,24174
47013950100,3516,3478,0,6,0,32,27793
21055930100,1850,1790,0,0,0,29,46680
04013114200,1078,118,109,0,797,54,26417
04007000900,2783,1201,0,0,1502,47,33682
34007601600,2649,59,1673,0,760,76,23638
04013112502,6273,349,74,16,5635,117,43996
21111003900,3785,1981,1161,22,312,37,35708
26163507500,1879,123,1662,0,26,68,23832
38099957900,1564,1080,8,0,354,111,42917
40109107210,1119,758,38,38,142,46,52961
55078940101,1561,15,16,21,216,1287,39750
40065968700,1529,557,250,0,618,31,20688
39049009325,4189,898,2551,32,597,50,30645
48029110700,1114,100,42,5,907,55,14891
19155030602,2750,1951,0,5,740,54,36895
24510200300,1517,366,907,23,53,38,23542
36065020300,1087,535,318,25,143,29,13113
53035081400,2429,1832,177,26,278,31,
01097001200,5047,1705,3206,14,78,33,26175
06019000100,3413,742,400,164,1970,61,14750
04013109703,3262,348,84,0,2730,44,39922
26163504400,1509,26,1426,0,0,57,23676
48303002500,2821,603,390,21,1745,43,33250
39001770500,3513,3245,5,0,37,58,35866
36065021500,2389,480,638,657,529,41,30664
17091011500,2191,288,1581,1,269,44,25089
12105011606,2006,1470,113,0,386,28,43972
48113017004,9997,1836,652,0,7302,43,37600
39017012200,3258,2736,244,14,120,31,28456
37051003800,2925,351,2201,36,95,99,24696
26163539100,1964,24,1826,0,20,83,26250
26163579800,1647,792,333,0,321,28,22292
17031230300,1001,101,7,0,813,77,39653
12005000803,5942,3175,1019,252,671,41,34888
13003960300,1568,1167,19,0,322,60,40662
35031945300,2897,65,29,6,1256,1498,19138
02185000200,2503,275,7,4,14,2042,65956
40109107218,3217,964,67,0,1807,47,30278
32003003431,3267,218,1165,186,1568,66,33697
06035040304,1498,1185,67,29,95,61,32448
04013092900,3140,466,363,52,2193,54,23725
24510200500,2866,701,1395,198,300,101,34236
35031943902,4150,132,4,0,408,3606,29347
40109107810,2517,1362,714,127,123,89,39432
26021002100,2310,994,927,0,271,34,25642
26163579700,3139,1293,723,0,891,30,28786
17031826000,2809,408,1361,0,1013,27,45809
04009940500,4714,9,0,0,444,4240,32614
02050000300,1407,149,1,0,16,1149,40250
06029006301,4098,400,31,25,3538,84,39861
04027010913,1494,411,0,0,964,115,43561
04021941200,5612,217,12,18,428,4766,15732
13193000200,1638,752,791,46,7,27,38225
12051000600,4929,1157,87,6,3148,519,43259
20035494000,2368,1615,94,7,418,67,32760
12093910402,2758,1664,6,0,1035,28,47708
40109104800,3357,702,138,0,2209,256,35737
41039001903,3133,2490,0,24,505,57,45948
04013112508,2225,209,25,0,1908,56,32452
49035102702,4046,961,32,239,2310,346,37775
05127950200,4221,3610,4,48,471,28,28611
12101032402,3505,1730,329,23,1272,59,28409
24510260404,2252,524,560,117,881,34,45143
40147000100,1920,1073,169,46,216,200,34440
04013115500,4208,488,157,87,3426,33,41397
35009000100,5056,718,439,58,3518,48,25981
36043011001,2463,2378,7,0,24,33,46949
06025012301,4944,586,803,93,3336,54,50208
55059001600,3335,1286,756,0,1147,39,37052
40071000400,2195,1253,255,0,348,226,40744
40109107303,1613,1111,81,9,281,39,35375
02282000100,689,292,2,57,50,189,65833
40031001500,2723,1523,311,0,352,393,27475
05131000502,3256,1005,163,488,1388,30,35588
40143006200,2643,259,1851,0,128,84,24450
29095005601,1701,151,1429,0,66,28,17773
01097003800,1412,530,807,0,0,53,33750
40143007309,1608,699,154,52,483,38,51078
40109107217,2009,613,135,37,1124,46,35417
55031021000,1791,1544,143,13,0,62,48000
36081018000,1210,63,432,204,177,130,68700
47157008110,2654,178,1921,0,348,197,20671
12049970102,3685,2465,26,6,1151,37,36190
21043960100,3222,3107,10,17,51,37,25446
35045943201,5324,748,8,0,383,4094,29135
48451001500,2782,1704,247,221,472,45,44306
01035960500,1568,964,488,0,81,32,19712
19171290500,3514,1985,32,32,902,501,47895
01091973100,1613,664,846,0,47,27,21133
39007000801,1777,1592,0,29,72,57,44271
